TrainName,Size1,Size2,SizeDif
east1,3,2,1
east2,2,1,1
east3,2,1,1
east4,3,2,1
east5,2,1,1
east6,2,1,1
east7,3,2,1
east8,2,1,1
east9,2,1,1
east10,3,2,1
east11,3,2,1
east12,2,1,1
east13,2,1,1
east14,3,2,1
east15,2,1,1
east16,3,2,1
east17,3,2,1
east18,2,1,1
east19,3,2,1
east20,3,2,1
east21,2,1,1
east22,3,2,1
east23,2,1,1
east24,3,2,1
east25,2,1,1
east26,2,1,1
east27,3,2,1
east28,2,1,1
east29,3,2,1
east30,2,1,1
east31,3,2,1
east32,2,1,1
east33,2,1,1
east34,3,2,1
east35,2,1,1
east36,3,2,1
east37,2,1,1
east38,2,1,1
east39,2,1,1
east40,3,2,1
east41,2,1,1
east42,3,2,1
east43,3,2,1
east44,3,2,1
east45,2,1,1
east46,2,1,1
east47,3,2,1
east48,3,2,1
east49,3,2,1
east50,2,1,1
east51,2,1,1
east52,3,2,1
east53,2,1,1
east54,3,2,1
east55,2,1,1
east56,2,1,1
east57,3,2,1
east58,2,1,1
east59,3,2,1
east60,3,2,1
east61,3,2,1
east62,3,2,1
east63,3,2,1
east64,3,2,1
east65,2,1,1
east66,3,2,1
east67,3,2,1
east68,3,2,1
east69,3,2,1
east70,3,2,1
east71,2,1,1
east72,3,2,1
east73,3,2,1
east74,2,1,1
east75,3,2,1
east76,3,2,1
east77,3,2,1
east78,3,2,1
east79,3,2,1
east80,2,1,1
east81,2,1,1
east82,3,2,1
east83,3,2,1
east84,2,1,1
east85,2,1,1
east86,3,2,1
east87,2,1,1
east88,3,2,1
east89,3,2,1
east90,2,1,1
east91,3,2,1
east92,3,2,1
east93,2,1,1
east94,3,2,1
east95,2,1,1
east96,3,2,1
east97,3,2,1
east98,3,2,1
east99,2,1,1
east100,2,1,1
east101,3,2,1
east102,3,2,1
east103,3,2,1
east104,3,2,1
east105,3,2,1
east106,2,1,1
east107,2,1,1
east108,3,2,1
east109,3,2,1
east110,2,1,1
east111,3,2,1
east112,3,2,1
east113,2,1,1
east114,3,2,1
east115,2,1,1
east116,3,2,1
east117,3,2,1
east118,2,1,1
east119,2,1,1
east120,2,1,1
east121,2,1,1
east122,3,2,1
east123,3,2,1
east124,3,2,1
east125,2,1,1
east126,2,1,1
east127,2,1,1
east128,3,2,1
east129,3,2,1
east130,3,2,1
east131,2,1,1
east132,2,1,1
east133,2,1,1
east134,2,1,1
east135,3,2,1
east136,2,1,1
east137,2,1,1
east138,3,2,1
east139,2,1,1
east140,2,1,1
east141,3,2,1
east142,2,1,1
east143,2,1,1
east144,3,2,1
east145,3,2,1
east146,2,1,1
east147,3,2,1
east148,3,2,1
east149,2,1,1
east150,2,1,1
east151,3,2,1
east152,3,2,1
east153,2,1,1
east154,3,2,1
east155,2,1,1
east156,3,2,1
east157,3,2,1
east158,3,2,1
east159,2,1,1
east160,2,1,1
east161,2,1,1
east162,2,1,1
east163,3,2,1
east164,2,1,1
east165,3,2,1
east166,3,2,1
east167,3,2,1
east168,2,1,1
east169,2,1,1
east170,2,1,1
east171,2,1,1
east172,2,1,1
east173,2,1,1
east174,3,2,1
east175,2,1,1
east176,3,2,1
east177,2,1,1
east178,2,1,1
east179,3,2,1
east180,3,2,1
east181,2,1,1
east182,2,1,1
east183,2,1,1
east184,3,2,1
east185,3,2,1
east186,2,1,1
east187,2,1,1
east188,2,1,1
east189,3,2,1
east190,3,2,1
east191,3,2,1
east192,3,2,1
east193,3,2,1
east194,2,1,1
east195,3,2,1
east196,2,1,1
east197,2,1,1
east198,3,2,1
east199,2,1,1
east200,3,2,1
east201,2,1,1
east202,3,2,1
east203,2,1,1
east204,3,2,1
east205,3,2,1
east206,3,2,1
east207,3,2,1
east208,3,2,1
east209,2,1,1
east210,2,1,1
east211,2,1,1
east212,3,2,1
east213,2,1,1
east214,2,1,1
east215,2,1,1
east216,2,1,1
east217,2,1,1
east218,2,1,1
east219,2,1,1
east220,2,1,1
east221,3,2,1
east222,2,1,1
east223,2,1,1
east224,2,1,1
east225,3,2,1
east226,3,2,1
east227,2,1,1
east228,2,1,1
east229,3,2,1
east230,3,2,1
east231,3,2,1
east232,2,1,1
east233,3,2,1
east234,2,1,1
east235,2,1,1
east236,3,2,1
east237,2,1,1
east238,3,2,1
east239,2,1,1
east240,3,2,1
east241,3,2,1
east242,2,1,1
east243,2,1,1
east244,2,1,1
east245,3,2,1
east246,3,2,1
east247,2,1,1
east248,2,1,1
east249,2,1,1
east250,3,2,1
east251,2,1,1
east252,2,1,1
east253,3,2,1
east254,2,1,1
east255,2,1,1
east256,3,2,1
east257,3,2,1
east258,2,1,1
east259,2,1,1
east260,3,2,1
east261,3,2,1
east262,3,2,1
east263,2,1,1
east264,2,1,1
east265,2,1,1
east266,3,2,1
east267,2,1,1
east268,2,1,1
east269,2,1,1
east270,2,1,1
east271,2,1,1
east272,2,1,1
east273,3,2,1
east274,3,2,1
east275,3,2,1
east276,2,1,1
east277,3,2,1
east278,2,1,1
east279,3,2,1
east280,3,2,1
east281,3,2,1
east282,3,2,1
east283,2,1,1
east284,2,1,1
east285,2,1,1
east286,3,2,1
east287,2,1,1
east288,3,2,1
east289,3,2,1
east290,2,1,1
east291,3,2,1
east292,2,1,1
east293,2,1,1
east294,3,2,1
east295,2,1,1
east296,3,2,1
east297,3,2,1
east298,3,2,1
east299,3,2,1
east300,3,2,1
east301,3,2,1
east302,3,2,1
east303,2,1,1
east304,3,2,1
east305,2,1,1
east306,2,1,1
east307,2,1,1
east308,3,2,1
east309,2,1,1
east310,2,1,1
east311,3,2,1
east312,2,1,1
east313,2,1,1
east314,3,2,1
east315,2,1,1
east316,3,2,1
east317,3,2,1
east318,2,1,1
east319,2,1,1
east320,2,1,1
east321,2,1,1
east322,2,1,1
east323,2,1,1
east324,2,1,1
east325,3,2,1
east326,3,2,1
east327,3,2,1
east328,3,2,1
east329,3,2,1
east330,3,2,1
east331,3,2,1
east332,3,2,1
east333,3,2,1
east334,3,2,1
east335,2,1,1
east336,3,2,1
east337,3,2,1
east338,3,2,1
east339,3,2,1
east340,2,1,1
east341,3,2,1
east342,2,1,1
east343,3,2,1
east344,3,2,1
east345,3,2,1
east346,2,1,1
east347,3,2,1
east348,2,1,1
east349,2,1,1
east350,2,1,1
east351,2,1,1
east352,3,2,1
east353,3,2,1
east354,3,2,1
east355,3,2,1
east356,2,1,1
east357,3,2,1
east358,2,1,1
east359,3,2,1
east360,3,2,1
east361,2,1,1
east362,2,1,1
east363,3,2,1
east364,3,2,1
east365,2,1,1
east366,3,2,1
east367,2,1,1
east368,3,2,1
east369,2,1,1
east370,3,2,1
east371,3,2,1
east372,3,2,1
east373,2,1,1
east374,2,1,1
east375,2,1,1
east376,2,1,1
east377,3,2,1
east378,2,1,1
east379,3,2,1
east380,3,2,1
east381,3,2,1
east382,3,2,1
east383,2,1,1
east384,3,2,1
east385,3,2,1
east386,3,2,1
east387,3,2,1
east388,2,1,1
east389,3,2,1
east390,2,1,1
east391,2,1,1
east392,3,2,1
east393,3,2,1
east394,3,2,1
east395,2,1,1
east396,3,2,1
east397,3,2,1
east398,3,2,1
east399,2,1,1
east400,2,1,1
east401,3,2,1
east402,3,2,1
east403,2,1,1
east404,3,2,1
east405,2,1,1
east406,3,2,1
east407,3,2,1
east408,2,1,1
east409,2,1,1
east410,2,1,1
east411,3,2,1
east412,2,1,1
east413,3,2,1
east414,3,2,1
east415,2,1,1
east416,3,2,1
east417,2,1,1
east418,3,2,1
east419,2,1,1
east420,2,1,1
east421,2,1,1
east422,2,1,1
east423,3,2,1
east424,3,2,1
